id,Geographic Area Name,Population 18 to 24 years,Population 18 to 24 years w/ Bachelor's degree or higher,Population 25 years and over,Population 25 years and over w/ Bachelor's degree or higher,Degree_percent
0500000US02158,"Kusilvak Census Area, Alaska",931,1,3947,190,0.039155392
0500000US02164,"Lake and Peninsula Borough, Alaska",152,8,850,134,0.141716567
0500000US02170,"Matanuska-Susitna Borough, Alaska",8941,247,66421,14073,0.190016189
0500000US02180,"Nome Census Area, Alaska",1046,37,5475,799,0.128201196
0500000US02185,"North Slope Borough, Alaska",747,34,6510,1079,0.153369161
0500000US02188,"Northwest Arctic Borough, Alaska",828,7,4186,489,0.098923016
0500000US02195,"Petersburg Borough, Alaska",386,7,2135,589,0.236414121
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",464,27,4472,787,0.164910859
0500000US02220,"Sitka City and Borough, Alaska",657,76,6142,2004,0.305927342
0500000US02230,"Skagway Municipality, Alaska",67,8,809,273,0.320776256
0500000US02240,"Southeast Fairbanks Census Area, Alaska",555,26,4455,851,0.1750499
0500000US02261,"Valdez-Cordova Census Area, Alaska",637,42,6465,1981,0.284849338
0500000US02275,"Wrangell City and Borough, Alaska",116,9,1875,388,0.199397288
0500000US02282,"Yakutat City and Borough, Alaska",51,4,451,90,0.187250996
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",456,22,3461,463,0.123819249
0500000US04001,"Apache County, Arizona",7265,24,44426,5189,0.100849277
0500000US04003,"Cochise County, Arizona",11016,503,87467,20116,0.209366083
0500000US04005,"Coconino County, Arizona",28451,2004,82119,29254,0.282698743
0500000US04007,"Gila County, Arizona",3596,170,38955,7226,0.173814951
0500000US04009,"Graham County, Arizona",4015,77,23531,3598,0.1334132
0500000US04011,"Greenlee County, Arizona",910,0,5955,709,0.103277495
0500000US04012,"La Paz County, Arizona",1378,11,15910,1972,0.114703841
0500000US04013,"Maricopa County, Arizona",400177,37074,2811491,899070,0.291482183
0500000US04015,"Mohave County, Arizona",13292,314,155888,20104,0.120688025
0500000US04017,"Navajo County, Arizona",9372,131,69653,11025,0.141170516
0500000US04019,"Pima County, Arizona",122847,9442,678427,216291,0.281717615
0500000US04021,"Pinal County, Arizona",33367,1095,288250,54794,0.173775018
0500000US04023,"Santa Cruz County, Arizona",4484,300,29228,6138,0.190970574
0500000US04025,"Yavapai County, Arizona",15061,624,171813,43270,0.234885538
0500000US04027,"Yuma County, Arizona",23739,605,130819,19315,0.128883655
0500000US05001,"Arkansas County, Arkansas",1470,49,12478,1937,0.142386005
0500000US05003,"Ashley County, Arkansas",1824,10,13932,1838,0.117288652
0500000US05005,"Baxter County, Arkansas",2347,44,31646,5802,0.171976583
0500000US05007,"Benton County, Arkansas",20854,1974,168838,54780,0.299190266
0500000US05009,"Boone County, Arkansas",2824,194,25951,4145,0.150790617
0500000US05011,"Bradley County, Arkansas",856,22,7494,1142,0.139401198
0500000US05013,"Calhoun County, Arkansas",415,38,3750,452,0.117647059
0500000US05015,"Carroll County, Arkansas",2109,20,19646,4015,0.185474604
0500000US05017,"Chicot County, Arkansas",843,14,7527,1110,0.134289128
0500000US05019,"Clark County, Arkansas",4944,382,13175,3642,0.222087312
0500000US05021,"Clay County, Arkansas",1163,38,10582,1228,0.107790549
0500000US05023,"Cleburne County, Arkansas",1676,100,18755,2796,0.141745387
0500000US05025,"Cleveland County, Arkansas",668,30,5696,920,0.149277184
0500000US05027,"Columbia County, Arkansas",4107,165,14720,3028,0.169596856
0500000US05029,"Conway County, Arkansas",1530,114,14592,2329,0.151532068
0500000US05031,"Craighead County, Arkansas",11794,1431,67712,17809,0.241994315
0500000US05033,"Crawford County, Arkansas",5031,224,41955,6432,0.141659218
0500000US05035,"Crittenden County, Arkansas",4476,185,31090,5607,0.162852162
0500000US05037,"Cross County, Arkansas",1438,22,11477,1771,0.138830817
0500000US05039,"Dallas County, Arkansas",468,19,5268,721,0.129009763
0500000US05041,"Desha County, Arkansas",913,38,7920,984,0.115702479
0500000US05043,"Drew County, Arkansas",2751,121,11728,2420,0.175495545
0500000US05045,"Faulkner County, Arkansas",18903,2264,74787,22472,0.264019639
0500000US05047,"Franklin County, Arkansas",1534,32,12074,1423,0.106922399
0500000US05049,"Fulton County, Arkansas",823,11,8829,1043,0.109200166
0500000US05051,"Garland County, Arkansas",7265,382,70968,14335,0.188117546
0500000US05053,"Grant County, Arkansas",1443,32,12494,2287,0.166391619
0500000US05055,"Greene County, Arkansas",3927,319,29705,4734,0.150243815
0500000US05057,"Hempstead County, Arkansas",1913,90,14390,2178,0.1391155
0500000US05059,"Hot Spring County, Arkansas",2539,123,23974,3526,0.137630596
0500000US05061,"Howard County, Arkansas",1070,29,8868,1308,0.134534111
0500000US05063,"Independence County, Arkansas",3216,198,25151,4754,0.174569041
0500000US05065,"Izard County, Arkansas",972,25,10126,1397,0.128131195
0500000US05067,"Jackson County, Arkansas",1429,129,12323,1254,0.10056719
0500000US05069,"Jefferson County, Arkansas",7256,348,47396,8432,0.160652858
0500000US05071,"Johnson County, Arkansas",2619,196,17284,2735,0.147264232
0500000US05073,"Lafayette County, Arkansas",574,6,4977,821,0.148982165
0500000US05075,"Lawrence County, Arkansas",1663,45,11276,1696,0.134554448
0500000US05077,"Lee County, Arkansas",839,8,6786,607,0.080655738
0500000US05079,"Lincoln County, Arkansas",1122,39,10199,903,0.083208197
0500000US05081,"Little River County, Arkansas",878,27,8791,1003,0.106526011
0500000US05083,"Logan County, Arkansas",1649,60,15283,1846,0.112567919
0500000US05085,"Lonoke County, Arkansas",5809,539,47523,9639,0.190842271
0500000US05087,"Madison County, Arkansas",1229,20,11036,1375,0.11373828
0500000US05089,"Marion County, Arkansas",931,26,12458,2148,0.162372096
0500000US05091,"Miller County, Arkansas",3575,122,29751,4934,0.151713377
0500000US05093,"Mississippi County, Arkansas",3909,169,27522,3521,0.117400019
0500000US05095,"Monroe County, Arkansas",664,19,5109,537,0.096310411
0500000US05097,"Montgomery County, Arkansas",589,4,6708,722,0.099492942
0500000US05099,"Nevada County, Arkansas",574,0,5952,916,0.14036163
0500000US05101,"Newton County, Arkansas",571,0,5727,927,0.147189584
0500000US05103,"Ouachita County, Arkansas",1939,94,16716,2671,0.148217636
0500000US05105,"Perry County, Arkansas",745,42,7224,858,0.112937633
0500000US05107,"Phillips County, Arkansas",1739,229,12339,1729,0.139082256
0500000US05109,"Pike County, Arkansas",883,12,7576,1113,0.132994444
0500000US05111,"Poinsett County, Arkansas",1997,52,16321,1643,0.092531936
0500000US05113,"Polk County, Arkansas",1360,76,14102,1872,0.125986289
0500000US05115,"Pope County, Arkansas",8706,673,40359,8860,0.194293284
0500000US05117,"Prairie County, Arkansas",591,27,5972,903,0.141703489
0500000US05119,"Pulaski County, Arkansas",35043,4388,266144,90726,0.315797163
0500000US05121,"Randolph County, Arkansas",1310,26,12268,1719,0.128516718
0500000US05123,"St. Francis County, Arkansas",2181,62,18340,1947,0.097899712
0500000US05125,"Saline County, Arkansas",8695,640,81408,21234,0.242766612
0500000US05127,"Scott County, Arkansas",795,23,6941,631,0.084539814
0500000US05129,"Searcy County, Arkansas",515,13,5814,728,0.117080107
0500000US05131,"Sebastian County, Arkansas",12051,576,84531,16641,0.17826303
0500000US05133,"Sevier County, Arkansas",1554,32,10701,1232,0.103141575
0500000US05135,"Sharp County, Arkansas",1086,22,12334,1397,0.105737705
0500000US05137,"Stone County, Arkansas",817,42,9155,1173,0.121841155
0500000US05139,"Union County, Arkansas",3093,166,27079,5638,0.192363781
0500000US05141,"Van Buren County, Arkansas",1067,104,12270,1730,0.137512184
0500000US05143,"Washington County, Arkansas",33780,3916,138163,45385,0.286728742
0500000US05145,"White County, Arkansas",9289,834,50930,10878,0.194490111
0500000US05147,"Woodruff County, Arkansas",496,29,4722,569,0.114603296
0500000US05149,"Yell County, Arkansas",1703,60,14499,1963,0.124861128
0500000US06001,"Alameda County, California",142783,23220,1156404,531701,0.427129428
0500000US06003,"Alpine County, California",123,4,784,235,0.263506064
0500000US06005,"Amador County, California",2487,0,29520,5997,0.187365264
0500000US06007,"Butte County, California",33527,3167,147890,39260,0.233864522
0500000US06009,"Calaveras County, California",2865,155,34602,6474,0.176929031
0500000US06011,"Colusa County, California",1947,26,13634,2103,0.13664078
0500000US06013,"Contra Costa County, California",94428,11184,777519,324337,0.384795177
0500000US06015,"Del Norte County, California",2033,51,19437,2782,0.13195156
0500000US06017,"El Dorado County, California",13929,1232,134716,45397,0.3136937
0500000US06019,"Fresno County, California",101646,6097,596505,123407,0.185495688
0500000US06021,"Glenn County, California",2503,144,17924,2484,0.128653253
0500000US06023,"Humboldt County, California",17563,1107,91946,27380,0.26013387
0500000US06025,"Imperial County, California",19202,789,109338,15802,0.129072662
0500000US06027,"Inyo County, California",1206,14,13244,3452,0.239861592
0500000US06029,"Kern County, California",93203,3489,532100,85752,0.142716411
0500000US06031,"Kings County, California",16819,774,92321,12438,0.121055525
0500000US06033,"Lake County, California",4464,85,46394,7324,0.145680129
0500000US06035,"Lassen County, California",3869,64,22390,2697,0.105144903
0500000US06037,"Los Angeles County, California",1006042,107999,6845489,2177481,0.291087178
0500000US06039,"Madera County, California",15184,456,97015,14084,0.129591173
0500000US06041,"Marin County, California",16846,3053,190541,112018,0.554861202
0500000US06043,"Mariposa County, California",1016,42,13659,3197,0.220715503
0500000US06045,"Mendocino County, California",6732,378,61799,15241,0.227911456
0500000US06047,"Merced County, California",30979,1809,158034,22051,0.126234703
0500000US06049,"Modoc County, California",432,0,6773,1078,0.149618321
0500000US06051,"Mono County, California",1443,91,10042,3076,0.27575098
0500000US06053,"Monterey County, California",44559,2482,274528,67157,0.218244554
0500000US06055,"Napa County, California",12416,967,98220,34277,0.318558155
0500000US06057,"Nevada County, California",6126,452,75777,27754,0.34438299
0500000US06059,"Orange County, California",301482,37756,2151512,857638,0.365020868
0500000US06061,"Placer County, California",28875,2769,265483,102345,0.357095781
0500000US06063,"Plumas County, California",1206,40,14430,3390,0.219365567
0500000US06065,"Riverside County, California",239249,13340,1530229,333718,0.19613581
0500000US06067,"Sacramento County, California",134979,11111,1012283,308126,0.278259892
0500000US06069,"San Benito County, California",5737,300,38076,7486,0.177709812
0500000US06071,"San Bernardino County, California",230809,15010,1331752,270028,0.182417198
0500000US06073,"San Diego County, California",353113,38152,2223376,848022,0.343946355
0500000US06075,"San Francisco County, California",63596,21514,689551,394004,0.551709029
0500000US06077,"San Joaquin County, California",72469,4250,458237,84486,0.167203687
0500000US06079,"San Luis Obispo County, California",43402,3454,187561,64923,0.296051749
0500000US06081,"San Mateo County, California",56788,11540,547899,273630,0.471599356
0500000US06083,"Santa Barbara County, California",70806,6850,273815,92634,0.288676546
0500000US06085,"Santa Clara County, California",165715,34704,1323801,679498,0.479485954
0500000US06087,"Santa Cruz County, California",41139,3727,178865,71610,0.342434683
0500000US06089,"Shasta County, California",14261,891,126151,27995,0.205723158
0500000US06091,"Sierra County, California",159,14,2330,436,0.1807955
0500000US06093,"Siskiyou County, California",2951,143,31792,7163,0.210286964
0500000US06095,"Solano County, California",40064,2753,299653,78496,0.239166718
0500000US06097,"Sonoma County, California",42531,3570,357968,124873,0.320707417
0500000US06099,"Stanislaus County, California",52476,2376,339918,57523,0.152650142
0500000US06101,"Sutter County, California",8535,323,62221,11024,0.160368025
0500000US06103,"Tehama County, California",4861,229,43334,6709,0.143956842
0500000US06105,"Trinity County, California",724,5,9966,1965,0.184284378
0500000US06107,"Tulare County, California",47876,1371,269073,38493,0.125774178
0500000US06109,"Tuolumne County, California",3796,81,41123,8238,0.185200027
0500000US06111,"Ventura County, California",81828,6918,566685,187558,0.299879879
0500000US06113,"Yolo County, California",43003,5120,126055,52424,0.340380225
0500000US06115,"Yuba County, California",7418,479,47201,7866,0.152785661
0500000US08001,"Adams County, Colorado",43532,3140,318139,74958,0.215936583
0500000US08003,"Alamosa County, Colorado",2986,248,9526,2484,0.218350384
0500000US08005,"Arapahoe County, Colorado",53018,7290,430193,181360,0.390409159
0500000US08007,"Archuleta County, Colorado",902,0,9797,3813,0.356388448
0500000US08009,"Baca County, Colorado",212,16,2612,577,0.209985836
0500000US08011,"Bent County, Colorado",376,18,4539,565,0.11861648
0500000US08013,"Boulder County, Colorado",48255,7476,209850,127566,0.523205672
0500000US08014,"Broomfield County, Colorado",4970,1061,45458,25209,0.520940747
0500000US08015,"Chaffee County, Colorado",1079,68,15106,5068,0.317330862
0500000US08017,"Cheyenne County, Colorado",82,11,1265,253,0.195991091
0500000US08019,"Clear Creek County, Colorado",562,21,7345,3416,0.434678133
0500000US08021,"Conejos County, Colorado",631,5,5301,1069,0.181051922
0500000US08023,"Costilla County, Colorado",327,26,2689,514,0.179045093
0500000US08025,"Crowley County, Colorado",1039,53,3874,372,0.08650519
0500000US08027,"Custer County, Colorado",248,16,3592,1324,0.348958333
0500000US08029,"Delta County, Colorado",2037,133,22133,4700,0.199958626
0500000US08031,"Denver County, Colorado",57043,10562,496573,237877,0.4487569
0500000US08033,"Dolores County, Colorado",77,45,1408,300,0.232323232
0500000US08035,"Douglas County, Colorado",23880,3641,215250,124635,0.536427884
0500000US08037,"Eagle County, Colorado",4197,512,38042,18316,0.445749189
0500000US08039,"Elbert County, Colorado",1842,165,17806,6388,0.333519951
0500000US08041,"El Paso County, Colorado",77082,7339,442086,167680,0.337114383
0500000US08043,"Fremont County, Colorado",2871,57,36374,6625,0.170263728
0500000US08045,"Garfield County, Colorado",4714,332,38796,11651,0.275407952
0500000US08047,"Gilpin County, Colorado",262,46,4700,1820,0.376058041
0500000US08049,"Grand County, Colorado",1029,113,11390,4306,0.355825751
0500000US08051,"Gunnison County, Colorado",3055,443,10553,5832,0.461125808
0500000US08053,"Hinsdale County, Colorado",14,0,725,318,0.430311231
0500000US08055,"Huerfano County, Colorado",350,0,5170,1106,0.200362319
0500000US08057,"Jackson County, Colorado",80,0,968,163,0.155534351
0500000US08059,"Jefferson County, Colorado",45513,6564,408988,180236,0.411000196
0500000US08061,"Kiowa County, Colorado",81,6,951,204,0.203488372
0500000US08063,"Kit Carson County, Colorado",458,30,5386,1017,0.179158111
0500000US08065,"Lake County, Colorado",853,132,5465,1858,0.314973093
0500000US08067,"La Plata County, Colorado",5265,811,39271,17223,0.404930842
0500000US08069,"Larimer County, Colorado",49188,7961,221161,102473,0.408486808
0500000US08071,"Las Animas County, Colorado",1210,21,10422,2053,0.178301238
0500000US08073,"Lincoln County, Colorado",366,3,4072,520,0.117845877
0500000US08075,"Logan County, Colorado",2316,158,14736,3028,0.186840253
0500000US08077,"Mesa County, Colorado",14323,977,102669,28155,0.249008479
0500000US08079,"Mineral County, Colorado",29,0,716,286,0.383892617
0500000US08081,"Moffat County, Colorado",832,14,8847,1514,0.157867548
0500000US08083,"Montezuma County, Colorado",1882,77,18228,5207,0.262754848
0500000US08085,"Montrose County, Colorado",2801,109,29377,7017,0.221455653
0500000US08087,"Morgan County, Colorado",2483,77,18355,3231,0.15874844
0500000US08089,"Otero County, Colorado",1765,64,12271,2172,0.159304645
0500000US08091,"Ouray County, Colorado",192,42,3840,1866,0.473214286
0500000US08093,"Park County, Colorado",837,110,13546,4094,0.292289508
0500000US08095,"Phillips County, Colorado",360,10,2849,726,0.229354939
0500000US08097,"Pitkin County, Colorado",1387,294,13648,8606,0.591952112
0500000US08099,"Prowers County, Colorado",1190,40,7831,1365,0.1557477
0500000US08101,"Pueblo County, Colorado",15089,896,111894,24568,0.20053078
0500000US08103,"Rio Blanco County, Colorado",636,13,4166,843,0.178259059
0500000US08105,"Rio Grande County, Colorado",1027,37,7665,1818,0.213414634
0500000US08107,"Routt County, Colorado",1937,192,18311,9232,0.465428684
0500000US08109,"Saguache County, Colorado",358,38,4698,1074,0.219936709
0500000US08111,"San Juan County, Colorado",11,0,464,160,0.336842105
0500000US08113,"San Miguel County, Colorado",531,178,5976,3387,0.547871523
0500000US08115,"Sedgwick County, Colorado",117,7,1694,353,0.198785202
0500000US08117,"Summit County, Colorado",2527,116,22871,11672,0.464131034
0500000US08119,"Teller County, Colorado",1533,93,18212,6200,0.318713598
0500000US08121,"Washington County, Colorado",365,35,3367,545,0.155412647
0500000US08123,"Weld County, Colorado",27768,1485,188765,50460,0.23989415
0500000US08125,"Yuma County, Colorado",748,73,6620,1464,0.208604777
0500000US09001,"Fairfield County, Connecticut",85651,17072,641790,303918,0.441259154
0500000US09003,"Hartford County, Connecticut",81713,12440,622446,234993,0.351387968
0500000US09005,"Litchfield County, Connecticut",13885,2218,134752,47270,0.332945364
0500000US09007,"Middlesex County, Connecticut",14481,2310,118792,49327,0.387452822
0500000US09009,"New Haven County, Connecticut",86562,13610,595852,207966,0.324694394
0500000US09011,"New London County, Connecticut",27451,3417,188221,62745,0.306771394
0500000US09013,"Tolland County, Connecticut",28394,2619,95870,39454,0.338577545
0500000US09015,"Windham County, Connecticut",12034,869,80985,19554,0.219557295
0500000US10001,"Kent County, Delaware",18154,1385,116057,27357,0.214155323
0500000US10003,"New Castle County, Delaware",53482,5706,380467,136613,0.327962503
0500000US10005,"Sussex County, Delaware",14454,1063,163455,43262,0.249144225
0500000US11001,"District of Columbia, District of Columbia",75780,17245,486981,280349,0.528810632
0500000US12001,"Alachua County, Florida",56517,9213,159261,67724,0.356556275
0500000US12003,"Baker County, Florida",2433,133,18659,2492,0.12445477
0500000US12005,"Bay County, Florida",15272,998,127804,29167,0.210832005
0500000US12007,"Bradford County, Florida",2001,60,19488,2056,0.098468984
0500000US12009,"Brevard County, Florida",43221,3684,426776,125088,0.273984728
0500000US12011,"Broward County, Florida",155638,14918,1344708,429460,0.29618368
0500000US12013,"Calhoun County, Florida",1063,36,10294,1019,0.09289425
0500000US12015,"Charlotte County, Florida",9569,538,145220,33662,0.220945933
0500000US12017,"Citrus County, Florida",8069,431,113645,20044,0.168222226
0500000US12019,"Clay County, Florida",16886,1139,141027,33943,0.222160303
0500000US12021,"Collier County, Florida",24844,2212,274710,99320,0.338943897
0500000US12023,"Columbia County, Florida",6140,108,47814,7444,0.139971086
0500000US12027,"DeSoto County, Florida",3336,42,25918,2966,0.102823545
0500000US12029,"Dixie County, Florida",1016,31,12370,1158,0.088824145
0500000US12031,"Duval County, Florida",85579,8146,628707,183280,0.267996293
0500000US12033,"Escambia County, Florida",37684,3397,208585,55164,0.23779282
0500000US12035,"Flagler County, Florida",6955,328,81448,19894,0.228747893
0500000US12037,"Franklin County, Florida",851,14,8966,1537,0.15799124
0500000US12039,"Gadsden County, Florida",3803,121,32128,5362,0.152598035
0500000US12041,"Gilchrist County, Florida",2163,46,11890,1685,0.123176546
0500000US12043,"Glades County, Florida",1178,0,10056,997,0.088748442
0500000US12045,"Gulf County, Florida",1245,56,12177,2157,0.164878558
0500000US12047,"Hamilton County, Florida",1419,17,10133,943,0.083102493
0500000US12049,"Hardee County, Florida",2687,23,17323,1802,0.091204398
0500000US12051,"Hendry County, Florida",4049,16,25285,2079,0.071418831
0500000US12053,"Hernando County, Florida",12256,429,136540,23896,0.163478857
0500000US12055,"Highlands County, Florida",6381,174,78047,13240,0.15888094
0500000US12057,"Hillsborough County, Florida",127367,15346,935758,305581,0.30187137
0500000US12059,"Holmes County, Florida",1567,44,14061,1444,0.095213719
0500000US12061,"Indian River County, Florida",9954,1002,115641,32781,0.268983638
0500000US12063,"Jackson County, Florida",4069,118,35370,4752,0.123481833
0500000US12065,"Jefferson County, Florida",875,24,10910,2404,0.206024608
0500000US12067,"Lafayette County, Florida",632,7,6146,969,0.143995279
0500000US12069,"Lake County, Florida",22704,1439,247089,56151,0.213459949
0500000US12071,"Lee County, Florida",50854,3848,537841,149514,0.26051181
0500000US12073,"Leon County, Florida",64057,8033,170031,77725,0.366349407
0500000US12075,"Levy County, Florida",2842,40,29171,3683,0.116296505
0500000US12077,"Liberty County, Florida",965,16,6007,761,0.111445783
0500000US12079,"Madison County, Florida",1505,34,13450,1854,0.126245403
0500000US12081,"Manatee County, Florida",25585,1818,277789,81512,0.274677461
0500000US12083,"Marion County, Florida",24052,1228,259032,50132,0.181430247
0500000US12085,"Martin County, Florida",10044,897,121310,40081,0.311966137
0500000US12086,"Miami-Dade County, Florida",238131,22241,1922868,553997,0.266653525
0500000US12087,"Monroe County, Florida",5197,431,59600,19850,0.312992885
0500000US12089,"Nassau County, Florida",5498,455,58920,16633,0.265267472
0500000US12091,"Okaloosa County, Florida",18676,1504,137503,42110,0.279256494
0500000US12093,"Okeechobee County, Florida",3429,127,28284,3217,0.105445716
0500000US12095,"Orange County, Florida",144128,15745,879992,297568,0.305933875
0500000US12097,"Osceola County, Florida",32079,1692,222545,45730,0.186243245
0500000US12099,"Palm Beach County, Florida",111514,11339,1054752,376461,0.332514195
0500000US12101,"Pasco County, Florida",36301,2486,370112,86702,0.219451642
0500000US12103,"Pinellas County, Florida",66006,6816,732552,226810,0.292559839
0500000US12105,"Polk County, Florida",57022,3110,461771,92267,0.183844038
0500000US12107,"Putnam County, Florida",5300,159,51840,6417,0.115085754
0500000US12109,"St. Johns County, Florida",17286,1609,166672,72856,0.404793485
0500000US12111,"St. Lucie County, Florida",22976,1857,220556,44830,0.191707866
0500000US12113,"Santa Rosa County, Florida",14045,904,118487,33286,0.257975432
0500000US12115,"Sarasota County, Florida",24080,1972,328083,113751,0.328606356
0500000US12117,"Seminole County, Florida",39227,3680,318981,122008,0.350879936
0500000US12119,"Sumter County, Florida",3817,143,108330,33688,0.301666563
0500000US12121,"Suwannee County, Florida",3407,93,30969,4554,0.135181522
0500000US12123,"Taylor County, Florida",1774,71,16088,1184,0.070260889
0500000US12125,"Union County, Florida",1142,36,11211,933,0.078442484
0500000US12127,"Volusia County, Florida",44120,3421,389206,91702,0.21951833
