AD,ED,Candidate,Votes
65,15,Donald J. Trump / Michael R. Pence (Republican),106
65,15,Donald J. Trump / Michael R. Pence (Conservative),6
65,15,Joseph R. Biden / Kamala D. Harris (Working Families),52
65,15,Howie Hawkins / Angela Nicole Walker (Green),0
65,15,Jo Jorgensen / Jeremy Cohen (Libertarian),9
65,15,Brock Pierce / Karla Ballard (Independence),0
65,15,Scattered,4
65,16,Public Counter,544
65,16,Manually Counted Emergency,0
65,16,Absentee / Military,340
65,16,Federal,25
65,16,Special Presidential,0
65,16,Affidavit,4
65,16,Joseph R. Biden / Kamala D. Harris (Democratic),680
65,16,Donald J. Trump / Michael R. Pence (Republican),146
65,16,Donald J. Trump / Michael R. Pence (Conservative),10
65,16,Joseph R. Biden / Kamala D. Harris (Working Families),48
65,16,Howie Hawkins / Angela Nicole Walker (Green),0
65,16,Jo Jorgensen / Jeremy Cohen (Libertarian),13
65,16,Brock Pierce / Karla Ballard (Independence),2
65,16,Scattered,9
65,17,Public Counter,11
65,17,Manually Counted Emergency,0
65,17,Absentee / Military,1
65,17,Federal,2
65,17,Special Presidential,0
65,17,Affidavit,0
65,17,Joseph R. Biden / Kamala D. Harris (Democratic),12
65,17,Donald J. Trump / Michael R. Pence (Republican),2
65,17,Donald J. Trump / Michael R. Pence (Conservative),0
65,17,Joseph R. Biden / Kamala D. Harris (Working Families),0
65,17,Howie Hawkins / Angela Nicole Walker (Green),0
65,17,Jo Jorgensen / Jeremy Cohen (Libertarian),0
65,17,Brock Pierce / Karla Ballard (Independence),0
65,18,Public Counter,336
65,18,Manually Counted Emergency,0
65,18,Absentee / Military,73
65,18,Federal,2
65,18,Special Presidential,0
65,18,Affidavit,6
65,18,Joseph R. Biden / Kamala D. Harris (Democratic),324
65,18,Donald J. Trump / Michael R. Pence (Republican),50
65,18,Donald J. Trump / Michael R. Pence (Conservative),4
65,18,Joseph R. Biden / Kamala D. Harris (Working Families),33
65,18,Howie Hawkins / Angela Nicole Walker (Green),3
65,18,Jo Jorgensen / Jeremy Cohen (Libertarian),0
65,18,Brock Pierce / Karla Ballard (Independence),0
65,18,Scattered,2
65,19,Public Counter,363
65,19,Manually Counted Emergency,0
65,19,Absentee / Military,57
65,19,Federal,2
65,19,Special Presidential,0
65,19,Affidavit,7
65,19,Joseph R. Biden / Kamala D. Harris (Democratic),293
65,19,Donald J. Trump / Michael R. Pence (Republican),78
65,19,Donald J. Trump / Michael R. Pence (Conservative),7
65,19,Joseph R. Biden / Kamala D. Harris (Working Families),41
65,19,Howie Hawkins / Angela Nicole Walker (Green),4
65,19,Jo Jorgensen / Jeremy Cohen (Libertarian),0
65,19,Brock Pierce / Karla Ballard (Independence),1
65,19,Scattered,3
65,20,Public Counter,315
65,20,Manually Counted Emergency,0
65,20,Absentee / Military,86
65,20,Federal,0
65,20,Special Presidential,0
65,20,Affidavit,10
65,20,Joseph R. Biden / Kamala D. Harris (Democratic),300
65,20,Donald J. Trump / Michael R. Pence (Republican),68
65,20,Donald J. Trump / Michael R. Pence (Conservative),4
65,20,Joseph R. Biden / Kamala D. Harris (Working Families),31
65,20,Howie Hawkins / Angela Nicole Walker (Green),2
65,20,Jo Jorgensen / Jeremy Cohen (Libertarian),2
65,20,Brock Pierce / Karla Ballard (Independence),0
65,21,Public Counter,415
65,21,Manually Counted Emergency,0
65,21,Absentee / Military,118
65,21,Federal,2
65,21,Special Presidential,0
65,21,Affidavit,4
65,21,Joseph R. Biden / Kamala D. Harris (Democratic),378
65,21,Donald J. Trump / Michael R. Pence (Republican),89
65,21,Donald J. Trump / Michael R. Pence (Conservative),4
65,21,Joseph R. Biden / Kamala D. Harris (Working Families),57
65,21,Howie Hawkins / Angela Nicole Walker (Green),6
65,21,Jo Jorgensen / Jeremy Cohen (Libertarian),0
65,21,Brock Pierce / Karla Ballard (Independence),0
65,21,Scattered,1
65,22,Public Counter,437
65,22,Manually Counted Emergency,0
65,22,Absentee / Military,302
65,22,Federal,6
65,22,Special Presidential,0
65,22,Affidavit,4
65,22,Joseph R. Biden / Kamala D. Harris (Democratic),513
65,22,Donald J. Trump / Michael R. Pence (Republican),150
65,22,Donald J. Trump / Michael R. Pence (Conservative),8
65,22,Joseph R. Biden / Kamala D. Harris (Working Families),66
65,22,Howie Hawkins / Angela Nicole Walker (Green),2
65,22,Jo Jorgensen / Jeremy Cohen (Libertarian),2
65,22,Brock Pierce / Karla Ballard (Independence),1
65,22,Scattered,2
65,23,Public Counter,315
65,23,Manually Counted Emergency,0
65,23,Absentee / Military,121
65,23,Federal,9
65,23,Special Presidential,0
65,23,Affidavit,2
65,23,Joseph R. Biden / Kamala D. Harris (Democratic),292
65,23,Donald J. Trump / Michael R. Pence (Republican),98
65,23,Donald J. Trump / Michael R. Pence (Conservative),3
65,23,Joseph R. Biden / Kamala D. Harris (Working Families),48
65,23,Howie Hawkins / Angela Nicole Walker (Green),1
65,23,Jo Jorgensen / Jeremy Cohen (Libertarian),2
65,23,Brock Pierce / Karla Ballard (Independence),0
65,23,Scattered,1
65,24,Public Counter,344
65,24,Manually Counted Emergency,0
65,24,Absentee / Military,151
65,24,Federal,5
65,24,Special Presidential,0
65,24,Affidavit,6
65,24,Joseph R. Biden / Kamala D. Harris (Democratic),318
65,24,Donald J. Trump / Michael R. Pence (Republican),107
65,24,Donald J. Trump / Michael R. Pence (Conservative),4
65,24,Joseph R. Biden / Kamala D. Harris (Working Families),66
65,24,Howie Hawkins / Angela Nicole Walker (Green),2
65,24,Jo Jorgensen / Jeremy Cohen (Libertarian),2
65,24,Brock Pierce / Karla Ballard (Independence),0
65,24,Scattered,3
65,25,Public Counter,202
65,25,Manually Counted Emergency,0
65,25,Absentee / Military,77
65,25,Federal,1
65,25,Special Presidential,0
65,25,Affidavit,3
65,25,Joseph R. Biden / Kamala D. Harris (Democratic),154
65,25,Donald J. Trump / Michael R. Pence (Republican),108
65,25,Donald J. Trump / Michael R. Pence (Conservative),5
65,25,Joseph R. Biden / Kamala D. Harris (Working Families),13
65,25,Howie Hawkins / Angela Nicole Walker (Green),0
65,25,Jo Jorgensen / Jeremy Cohen (Libertarian),2
65,25,Brock Pierce / Karla Ballard (Independence),0
65,26,Public Counter,234
65,26,Manually Counted Emergency,0
65,26,Absentee / Military,76
65,26,Federal,1
65,26,Special Presidential,0
65,26,Affidavit,2
65,26,Joseph R. Biden / Kamala D. Harris (Democratic),187
65,26,Donald J. Trump / Michael R. Pence (Republican),97
65,26,Donald J. Trump / Michael R. Pence (Conservative),5
65,26,Joseph R. Biden / Kamala D. Harris (Working Families),18
65,26,Howie Hawkins / Angela Nicole Walker (Green),4
65,26,Jo Jorgensen / Jeremy Cohen (Libertarian),0
65,26,Brock Pierce / Karla Ballard (Independence),1
65,26,Scattered,1
65,27,Public Counter,427
65,27,Manually Counted Emergency,0
65,27,Absentee / Military,151
65,27,Federal,4
65,27,Special Presidential,0
65,27,Affidavit,5
65,27,Joseph R. Biden / Kamala D. Harris (Democratic),357
65,27,Donald J. Trump / Michael R. Pence (Republican),174
65,27,Donald J. Trump / Michael R. Pence (Conservative),12
65,27,Joseph R. Biden / Kamala D. Harris (Working Families),38
65,27,Howie Hawkins / Angela Nicole Walker (Green),0
65,27,Jo Jorgensen / Jeremy Cohen (Libertarian),0
65,27,Brock Pierce / Karla Ballard (Independence),2
65,27,Scattered,4
65,28,Public Counter,228
65,28,Manually Counted Emergency,0
65,28,Absentee / Military,117
65,28,Federal,1
65,28,Special Presidential,0
65,28,Affidavit,4
65,28,Joseph R. Biden / Kamala D. Harris (Democratic),232
65,28,Donald J. Trump / Michael R. Pence (Republican),59
65,28,Donald J. Trump / Michael R. Pence (Conservative),5
65,28,Joseph R. Biden / Kamala D. Harris (Working Families),45
65,28,Howie Hawkins / Angela Nicole Walker (Green),3
65,28,Jo Jorgensen / Jeremy Cohen (Libertarian),3
65,28,Brock Pierce / Karla Ballard (Independence),1
65,28,Scattered,1
65,29,Public Counter,237
65,29,Manually Counted Emergency,0
65,29,Absentee / Military,106
65,29,Federal,6
65,29,Special Presidential,0
65,29,Affidavit,3
65,29,Joseph R. Biden / Kamala D. Harris (Democratic),217
65,29,Donald J. Trump / Michael R. Pence (Republican),64
65,29,Donald J. Trump / Michael R. Pence (Conservative),7
65,29,Joseph R. Biden / Kamala D. Harris (Working Families),57
65,29,Howie Hawkins / Angela Nicole Walker (Green),1
65,29,Jo Jorgensen / Jeremy Cohen (Libertarian),2
65,29,Brock Pierce / Karla Ballard (Independence),1
65,29,Scattered,1
65,30,Public Counter,363
65,30,Manually Counted Emergency,0
65,30,Absentee / Military,122
65,30,Federal,1
65,30,Special Presidential,0
65,30,Affidavit,2
65,30,Joseph R. Biden / Kamala D. Harris (Democratic),342
65,30,Donald J. Trump / Michael R. Pence (Republican),88
65,30,Donald J. Trump / Michael R. Pence (Conservative),4
65,30,Joseph R. Biden / Kamala D. Harris (Working Families),44
65,30,Howie Hawkins / Angela Nicole Walker (Green),5
65,30,Jo Jorgensen / Jeremy Cohen (Libertarian),0
65,30,Brock Pierce / Karla Ballard (Independence),2
65,31,Public Counter,457
65,31,Manually Counted Emergency,0
65,31,Absentee / Military,115
65,31,Federal,1
65,31,Special Presidential,0
65,31,Affidavit,5
65,31,Joseph R. Biden / Kamala D. Harris (Democratic),391
65,31,Donald J. Trump / Michael R. Pence (Republican),136
65,31,Donald J. Trump / Michael R. Pence (Conservative),5
65,31,Joseph R. Biden / Kamala D. Harris (Working Families),35
65,31,Howie Hawkins / Angela Nicole Walker (Green),3
65,31,Jo Jorgensen / Jeremy Cohen (Libertarian),2
65,31,Brock Pierce / Karla Ballard (Independence),0
65,31,Scattered,2
65,32,Public Counter,367
65,32,Manually Counted Emergency,0
65,32,Absentee / Military,137
65,32,Federal,8
65,32,Special Presidential,0
65,32,Affidavit,5
65,32,Joseph R. Biden / Kamala D. Harris (Democratic),343
65,32,Donald J. Trump / Michael R. Pence (Republican),94
65,32,Donald J. Trump / Michael R. Pence (Conservative),5
65,32,Joseph R. Biden / Kamala D. Harris (Working Families),65
65,32,Howie Hawkins / Angela Nicole Walker (Green),4
65,32,Jo Jorgensen / Jeremy Cohen (Libertarian),0
65,32,Brock Pierce / Karla Ballard (Independence),0
65,32,Scattered,2
65,33,Public Counter,564
65,33,Manually Counted Emergency,0
65,33,Absentee / Military,161
65,33,Federal,3
65,33,Special Presidential,0
65,33,Affidavit,15
65,33,Joseph R. Biden / Kamala D. Harris (Democratic),539
65,33,Donald J. Trump / Michael R. Pence (Republican),122
65,33,Donald J. Trump / Michael R. Pence (Conservative),10
65,33,Joseph R. Biden / Kamala D. Harris (Working Families),62
65,33,Howie Hawkins / Angela Nicole Walker (Green),1
65,33,Jo Jorgensen / Jeremy Cohen (Libertarian),1
65,33,Brock Pierce / Karla Ballard (Independence),0
65,33,Scattered,3
65,34,Public Counter,355
65,34,Manually Counted Emergency,0
65,34,Absentee / Military,74
65,34,Federal,0
65,34,Special Presidential,0
65,34,Affidavit,1
65,34,Joseph R. Biden / Kamala D. Harris (Democratic),315
65,34,Donald J. Trump / Michael R. Pence (Republican),79
65,34,Donald J. Trump / Michael R. Pence (Conservative),4
65,34,Joseph R. Biden / Kamala D. Harris (Working Families),28
65,34,Howie Hawkins / Angela Nicole Walker (Green),0
65,34,Jo Jorgensen / Jeremy Cohen (Libertarian),2
65,34,Brock Pierce / Karla Ballard (Independence),0
65,34,Scattered,2
65,35,Public Counter,351
65,35,Manually Counted Emergency,0
65,35,Absentee / Military,97
65,35,Federal,4
65,35,Special Presidential,0
65,35,Affidavit,8
65,35,Joseph R. Biden / Kamala D. Harris (Democratic),332
65,35,Donald J. Trump / Michael R. Pence (Republican),77
65,35,Donald J. Trump / Michael R. Pence (Conservative),11
65,35,Joseph R. Biden / Kamala D. Harris (Working Families),34
65,35,Howie Hawkins / Angela Nicole Walker (Green),0
65,35,Jo Jorgensen / Jeremy Cohen (Libertarian),2
65,35,Brock Pierce / Karla Ballard (Independence),1
65,35,Scattered,3
65,36,Public Counter,331
65,36,Manually Counted Emergency,0
65,36,Absentee / Military,61
65,36,Federal,0
65,36,Special Presidential,0
65,36,Affidavit,5
65,36,Joseph R. Biden / Kamala D. Harris (Democratic),288
65,36,Donald J. Trump / Michael R. Pence (Republican),65
65,36,Donald J. Trump / Michael R. Pence (Conservative),4
65,36,Joseph R. Biden / Kamala D. Harris (Working Families),27
65,36,Howie Hawkins / Angela Nicole Walker (Green),2
65,36,Jo Jorgensen / Jeremy Cohen (Libertarian),3
65,36,Brock Pierce / Karla Ballard (Independence),1
65,36,Scattered,2
65,37,Public Counter,402
65,37,Manually Counted Emergency,0
65,37,Absentee / Military,124
65,37,Federal,5
65,37,Special Presidential,0
65,37,Affidavit,10
65,37,Joseph R. Biden / Kamala D. Harris (Democratic),394
65,37,Donald J. Trump / Michael R. Pence (Republican),97
65,37,Donald J. Trump / Michael R. Pence (Conservative),7
65,37,Joseph R. Biden / Kamala D. Harris (Working Families),32
65,37,Howie Hawkins / Angela Nicole Walker (Green),4
65,37,Jo Jorgensen / Jeremy Cohen (Libertarian),2
65,37,Brock Pierce / Karla Ballard (Independence),0
65,37,Scattered,2
65,38,Public Counter,413
65,38,Manually Counted Emergency,0
65,38,Absentee / Military,110
65,38,Federal,7
65,38,Special Presidential,0
65,38,Affidavit,7
65,38,Joseph R. Biden / Kamala D. Harris (Democratic),392
65,38,Donald J. Trump / Michael R. Pence (Republican),72
65,38,Donald J. Trump / Michael R. Pence (Conservative),3
65,38,Joseph R. Biden / Kamala D. Harris (Working Families),56
65,38,Howie Hawkins / Angela Nicole Walker (Green),4
65,38,Jo Jorgensen / Jeremy Cohen (Libertarian),5
65,38,Brock Pierce / Karla Ballard (Independence),1
65,38,Scattered,1
65,39,Public Counter,460
65,39,Manually Counted Emergency,0
65,39,Absentee / Military,89
65,39,Federal,2
65,39,Special Presidential,0
65,39,Affidavit,4
65,39,Joseph R. Biden / Kamala D. Harris (Democratic),375
65,39,Donald J. Trump / Michael R. Pence (Republican),119
65,39,Donald J. Trump / Michael R. Pence (Conservative),4
65,39,Joseph R. Biden / Kamala D. Harris (Working Families),46
65,39,Howie Hawkins / Angela Nicole Walker (Green),2
65,39,Jo Jorgensen / Jeremy Cohen (Libertarian),4
65,39,Brock Pierce / Karla Ballard (Independence),0
65,39,Scattered,1
65,40,Public Counter,398
65,40,Manually Counted Emergency,0
65,40,Absentee / Military,59
65,40,Federal,0
65,40,Special Presidential,0
65,40,Affidavit,6
65,40,Joseph R. Biden / Kamala D. Harris (Democratic),361
65,40,Donald J. Trump / Michael R. Pence (Republican),56
65,40,Donald J. Trump / Michael R. Pence (Conservative),6
65,40,Joseph R. Biden / Kamala D. Harris (Working Families),33
65,40,Howie Hawkins / Angela Nicole Walker (Green),1
65,40,Jo Jorgensen / Jeremy Cohen (Libertarian),3
65,40,Brock Pierce / Karla Ballard (Independence),1
65,41,Public Counter,340
65,41,Manually Counted Emergency,0
65,41,Absentee / Military,127
65,41,Federal,6
65,41,Special Presidential,0
65,41,Affidavit,2
65,41,Joseph R. Biden / Kamala D. Harris (Democratic),321
65,41,Donald J. Trump / Michael R. Pence (Republican),84
65,41,Donald J. Trump / Michael R. Pence (Conservative),3
65,41,Joseph R. Biden / Kamala D. Harris (Working Families),57
65,41,Howie Hawkins / Angela Nicole Walker (Green),2
65,41,Jo Jorgensen / Jeremy Cohen (Libertarian),2
65,41,Brock Pierce / Karla Ballard (Independence),0
65,41,Scattered,4
65,42,Public Counter,270
65,42,Manually Counted Emergency,0
65,42,Absentee / Military,90
65,42,Federal,0
65,42,Special Presidential,0
65,42,Affidavit,6
65,42,Joseph R. Biden / Kamala D. Harris (Democratic),280
65,42,Donald J. Trump / Michael R. Pence (Republican),54
65,42,Donald J. Trump / Michael R. Pence (Conservative),5
65,42,Joseph R. Biden / Kamala D. Harris (Working Families),22
65,42,Howie Hawkins / Angela Nicole Walker (Green),1
65,42,Jo Jorgensen / Jeremy Cohen (Libertarian),0
65,42,Brock Pierce / Karla Ballard (Independence),1
65,43,Public Counter,432
65,43,Manually Counted Emergency,0
65,43,Absentee / Military,90
65,43,Federal,2
65,43,Special Presidential,0
65,43,Affidavit,9
65,43,Joseph R. Biden / Kamala D. Harris (Democratic),418
65,43,Donald J. Trump / Michael R. Pence (Republican),72
65,43,Donald J. Trump / Michael R. Pence (Conservative),7
65,43,Joseph R. Biden / Kamala D. Harris (Working Families),31
65,43,Howie Hawkins / Angela Nicole Walker (Green),2
65,43,Jo Jorgensen / Jeremy Cohen (Libertarian),0
65,43,Brock Pierce / Karla Ballard (Independence),0
65,43,Scattered,2
65,44,Public Counter,486
65,44,Manually Counted Emergency,0
65,44,Absentee / Military,155
65,44,Federal,2
65,44,Special Presidential,0
65,44,Affidavit,5
65,44,Joseph R. Biden / Kamala D. Harris (Democratic),413
65,44,Donald J. Trump / Michael R. Pence (Republican),141
65,44,Donald J. Trump / Michael R. Pence (Conservative),14
65,44,Joseph R. Biden / Kamala D. Harris (Working Families),69
65,44,Howie Hawkins / Angela Nicole Walker (Green),2
65,44,Jo Jorgensen / Jeremy Cohen (Libertarian),3
65,44,Brock Pierce / Karla Ballard (Independence),0
65,45,Public Counter,486
65,45,Manually Counted Emergency,0
65,45,Absentee / Military,141
65,45,Federal,5
65,45,Special Presidential,0
65,45,Affidavit,1
65,45,Joseph R. Biden / Kamala D. Harris (Democratic),416
65,45,Donald J. Trump / Michael R. Pence (Republican),139
65,45,Donald J. Trump / Michael R. Pence (Conservative),12
65,45,Joseph R. Biden / Kamala D. Harris (Working Families),55
65,45,Howie Hawkins / Angela Nicole Walker (Green),2
65,45,Jo Jorgensen / Jeremy Cohen (Libertarian),4
65,45,Brock Pierce / Karla Ballard (Independence),0
65,45,Scattered,3
65,46,Public Counter,354
65,46,Manually Counted Emergency,0
65,46,Absentee / Military,122
65,46,Federal,6
65,46,Special Presidential,0
65,46,Affidavit,1
65,46,Joseph R. Biden / Kamala D. Harris (Democratic),298
65,46,Donald J. Trump / Michael R. Pence (Republican),110
65,46,Donald J. Trump / Michael R. Pence (Conservative),10
65,46,Joseph R. Biden / Kamala D. Harris (Working Families),51
65,46,Howie Hawkins / Angela Nicole Walker (Green),3
65,46,Jo Jorgensen / Jeremy Cohen (Libertarian),3
65,46,Brock Pierce / Karla Ballard (Independence),0
65,46,Scattered,4
65,47,Public Counter,335
65,47,Manually Counted Emergency,0
65,47,Absentee / Military,114
65,47,Federal,6
65,47,Special Presidential,0
65,47,Affidavit,1
65,47,Joseph R. Biden / Kamala D. Harris (Democratic),304
65,47,Donald J. Trump / Michael R. Pence (Republican),87
65,47,Donald J. Trump / Michael R. Pence (Conservative),4
65,47,Joseph R. Biden / Kamala D. Harris (Working Families),53
65,47,Howie Hawkins / Angela Nicole Walker (Green),2
65,47,Jo Jorgensen / Jeremy Cohen (Libertarian),1
65,47,Brock Pierce / Karla Ballard (Independence),2
65,47,Scattered,3
65,48,Public Counter,453
65,48,Manually Counted Emergency,0
65,48,Absentee / Military,100
65,48,Federal,16
65,48,Special Presidential,0
65,48,Affidavit,6
65,48,Joseph R. Biden / Kamala D. Harris (Democratic),352
65,48,Donald J. Trump / Michael R. Pence (Republican),121
65,48,Donald J. Trump / Michael R. Pence (Conservative),9
